City/Town,Dropbox Address,Instructions,Instructions Part 1,Concatenated,Election Office,Number,QAer,Zip,How was this information gathered?(inlcude link if found on web),Name ,Email,Campaign Email Info,Campaign Number Info,No Drop Box Ask,Where is the Drop Box located?,Has Dropbox? ,No Info
WESTHAMPTON,"No drop box for September 1 votes, in process of installing one for November 3. Please contact your town clerk at the contact information below to find out where to drop your ballot.","clerk@westhamptonma.org 413-203-3080 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",clerk@westhamptonma.org 413-203-3080,"clerk@westhamptonma.org 413-203-3080 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-203-3080,Ahmad,,email,Cheryl Provost,clerk@westhamptonma.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,No,
LANCASTER,Old Town Hall: 695 Main Street," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-365-3326 x 1013,Ahmad,(zero)1523,https://www.ci.lancaster.ma.us/sites/g/files/vyhlif4586/f/uploads/town_clerk_news_state_primary.pdf,Dianne Reardon,townclerk@lancasterma.net,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
PROVINCETOWN,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"aruiz@provincetown-ma.gov 508-487-7013 x 524 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",aruiz@provincetown-ma.gov 508-487-7013 x 524,"aruiz@provincetown-ma.gov 508-487-7013 x 524 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-487-7013 x 524,Ahmad,,,,aruiz@provincetown-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
GOSHEN,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"clerk@goshen-ma.us 413-268-8236 x 107 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",clerk@goshen-ma.us 413-268-8236 x 107,"clerk@goshen-ma.us 413-268-8236 x 107 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-268-8236 x 107,Ahmad,,,Kristen Estelle,clerk@goshen-ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
NORWOOD,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"clerk@norwoodma.gov 781-762-1240 x 152 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",clerk@norwoodma.gov 781-762-1240 x 152,"clerk@norwoodma.gov 781-762-1240 x 152 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-762-1240 x 152,Ahmad,,,,clerk@norwoodma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
CONWAY,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"clerk@townofconway.com 413-369-4235 x 4 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",clerk@townofconway.com 413-369-4235 x 4,"clerk@townofconway.com 413-369-4235 x 4 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-369-4235 x 4,Ahmad,,,,clerk@townofconway.com,clerk@townofconway.com,413-369-4235 ext 4,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
OAK BLUFFS,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"cmorris@oakbluffsma.gov 508-693-3554 x 119 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",cmorris@oakbluffsma.gov 508-693-3554 x 119,"cmorris@oakbluffsma.gov 508-693-3554 x 119 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-693-3554 x 119,Ahmad,,,,cmorris@oakbluffsma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
DUNSTABLE,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"CSkerrett@dunstable-ma.gov 978-649-4514 x 222 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",CSkerrett@dunstable-ma.gov 978-649-4514 x 222,"CSkerrett@dunstable-ma.gov 978-649-4514 x 222 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-649-4514 x 222,Ahmad,,,,CSkerrett@dunstable-ma.gov,,(978) 649-4514 Ext. 222,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
CUMMINGTON,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"djordan@cummington-ma.gov 413-200-5011 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",djordan@cummington-ma.gov 413-200-5011,"djordan@cummington-ma.gov 413-200-5011 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-200-5011,Ahmad,,,,djordan@cummington-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
MONROE,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"elections@sec.state.ma.us 413-424-5272 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",elections@sec.state.ma.us 413-424-5272,"elections@sec.state.ma.us 413-424-5272 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-424-5272,Ahmad,,,,elections@sec.state.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
NEW ASHFORD,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"elections@sec.state.ma.us 413-458-5461 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",elections@sec.state.ma.us 413-458-5461,"elections@sec.state.ma.us 413-458-5461 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-458-5461,Ahmad,,,,elections@sec.state.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
FLORIDA,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"floridaclerk.floridamass@gmail.com 413-662-2448 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",floridaclerk.floridamass@gmail.com 413-662-2448,"floridaclerk.floridamass@gmail.com 413-662-2448 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-662-2448,Ahmad,,,,floridaclerk.floridamass@gmail.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
MOUNT WASHINGTON,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"gailg@townofmtwashington.com 413-528-9264 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",gailg@townofmtwashington.com 413-528-9264,"gailg@townofmtwashington.com 413-528-9264 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-528-9264,Ahmad,,,,gailg@townofmtwashington.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
TAUNTON,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"kandrade@taunton-ma.gov 508-821-1044 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",kandrade@taunton-ma.gov 508-821-1044,"kandrade@taunton-ma.gov 508-821-1044 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-821-1044,Ahmad,,,,kandrade@taunton-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
CHARLEMONT,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"kathy.reynolds@townofcharlemont.org 413-339-4335 x 305 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",kathy.reynolds@townofcharlemont.org 413-339-4335 x 305,"kathy.reynolds@townofcharlemont.org 413-339-4335 x 305 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-339-4335 x 305,Ahmad,,,Kathy Reynolds,kathy.reynolds@townofcharlemont.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
PEMBROKE,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"mstruzik@townofpembrokemass.org 781-709-1403 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",mstruzik@townofpembrokemass.org 781-709-1403,"mstruzik@townofpembrokemass.org 781-709-1403 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-709-1403,Ahmad,,,,mstruzik@townofpembrokemass.org,,781- 293-7211,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
NORWELL,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"panderson@townofnorwell.net 781-659-8072 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",panderson@townofnorwell.net 781-659-8072,"panderson@townofnorwell.net 781-659-8072 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-659-8072,Ahmad,,,,panderson@townofnorwell.net,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
ROCHESTER,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"pdawson@townofrochester.com 508-763-3871 x 17 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",pdawson@townofrochester.com 508-763-3871 x 17,"pdawson@townofrochester.com 508-763-3871 x 17 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-763-3871 x 17,Ahmad,,,,pdawson@townofrochester.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
PETERSHAM,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"petershamtownclerk@verizon.net 978-724-6649 x 2 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",petershamtownclerk@verizon.net 978-724-6649 x 2,"petershamtownclerk@verizon.net 978-724-6649 x 2 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-724-6649 x 2,Ahmad,,,,petershamtownclerk@verizon.net,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
RUSSELL,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"russelltownclerk@russellma.net 413-862-6207 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",russelltownclerk@russellma.net 413-862-6207,"russelltownclerk@russellma.net 413-862-6207 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-862-6207,Ahmad,,,,russelltownclerk@russellma.net,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
SAVOY,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"savoytownclerk@gmail.com 413-743-3759 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",savoytownclerk@gmail.com 413-743-3759,"savoytownclerk@gmail.com 413-743-3759 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-743-3759,Ahmad,,,,savoytownclerk@gmail.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BRIMFIELD,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@brimfieldma.org 413-245-4100 x 7 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@brimfieldma.org 413-245-4100 x 7,"townclerk@brimfieldma.org 413-245-4100 x 7 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-245-4100 x 7,Malia,,,,townclerk@brimfieldma.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
CHESHIRE,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@cheshire-ma.gov 413-743-1690 x 22 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@cheshire-ma.gov 413-743-1690 x 22,"townclerk@cheshire-ma.gov 413-743-1690 x 22 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-743-1690 x 22,Malia,,,,townclerk@cheshire-ma.gov,lbrennan@cheshirect.org,203 271-6601,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
CLARKSBURG,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@clarksburgma.gov 413-663-8255 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@clarksburgma.gov 413-663-8255,"townclerk@clarksburgma.gov 413-663-8255 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-663-8255,Malia,,,,townclerk@clarksburgma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
MILLVILLE,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@millvillema.org 508-883-5849 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@millvillema.org 508-883-5849,"townclerk@millvillema.org 508-883-5849 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-883-5849,Malia,,,,townclerk@millvillema.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
SANDISFIELD,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@sandisfieldma.gov 413-258-4711 x 2 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@sandisfieldma.gov 413-258-4711 x 2,"townclerk@sandisfieldma.gov 413-258-4711 x 2 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-258-4711 x 2,Malia,,,,townclerk@sandisfieldma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
PLAINFIELD,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@town.plainfield.ma.us 413-634-5420 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@town.plainfield.ma.us 413-634-5420,"townclerk@town.plainfield.ma.us 413-634-5420 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-634-5420,Malia,,,,townclerk@town.plainfield.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
GRANVILLE,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@townofgranville.org 413-357-8585 x 3 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@townofgranville.org 413-357-8585 x 3,"townclerk@townofgranville.org 413-357-8585 x 3 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-357-8585 x 3,Malia,,,,townclerk@townofgranville.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
LEYDEN,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@townofleyden.com 413-774-4111 x 3 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@townofleyden.com 413-774-4111 x 3,"townclerk@townofleyden.com 413-774-4111 x 3 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-774-4111 x 3,Malia,,,,townclerk@townofleyden.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
NEWBURY,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@townofnewbury.org 978-465-0862 x 315 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@townofnewbury.org 978-465-0862 x 315,"townclerk@townofnewbury.org 978-465-0862 x 315 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-465-0862 x 315,Malia,,,,townclerk@townofnewbury.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
WENDELL,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@wendellmass.us 978-544-3395 x 2 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@wendellmass.us 978-544-3395 x 2,"townclerk@wendellmass.us 978-544-3395 x 2 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-544-3395 x 2,Malia,,,,townclerk@wendellmass.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
OXFORD,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerkoffice@oxfordma.us 508-987-6032 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerkoffice@oxfordma.us 508-987-6032,"townclerkoffice@oxfordma.us 508-987-6032 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-987-6032,Malia,,,,townclerkoffice@oxfordma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
LAWRENCE,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"wmaloney@cityoflawrence.com 978-620-3290 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",wmaloney@cityoflawrence.com 978-620-3290,"wmaloney@cityoflawrence.com 978-620-3290 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-620-3290,Malia,,Phone call,William Maloney,wmaloney@cityoflawrence.com,wmaloney@cityoflawrence.com,,Do you have a secure drop box for ballots?  What is the address and location on site?,,No,x
RANDOLPH,Please contact your town clerk at the contact information below to find out where to drop your ballot.," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",,Malia,,,,,,,,,,
WESTWOOD,"Police Station, 588 High Street","You can place your ballots in the dropbox, located in front of the police station You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can place your ballots in the dropbox, located in front of the police station","You can place your ballots in the dropbox, located in front of the police station You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-326-3964,Malia,(zero)2090 ,email,Dottie Powers,dpowers@townhall.westwood.ma.us,dpowers@town.westwood.ma.us,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
PRINCETON,Post Office Place: 206 Worcester Road,"You can drop your ballot in the drop box back of building at bottom of ramp, in front of glass doors at the Post Office Place. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can drop your ballot in the drop box back of building at bottom of ramp, in front of glass doors at the Post Office Place.","You can drop your ballot in the drop box back of building at bottom of ramp, in front of glass doors at the Post Office Place. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-464-2103,Malia,,,,townclerk@town.princeton.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
MELROSE,Post Office: 23 Essex Street,"The dropbox is located on the east side of the post office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located on the east side of the post office.,"The dropbox is located on the east side of the post office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-979-4125,Ahmad,,,,jperperian@cityofmelrose.org,Direct email option,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
WAYLAND,"Public Safety Building, 38 Cochituate Road","You can place your ballots in the lockbox outside of the main entrance of the Public Safety Building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can place your ballots in the lockbox outside of the main entrance of the Public Safety Building.,"You can place your ballots in the lockbox outside of the main entrance of the Public Safety Building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-358-3630,Malia,1778,SOS,,aludwig@wayland.ma.us,townclerk@wayland.ma.us,,,,Yes,
ROYALSTON,"Royalston does not have a drop box. Ballots should be mailed. The Town Clerk will be available to take ballots on election day personally at the Town Clerk office in Whitney Hall, 5 School Street.","townclerk@royalston-ma.gov You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@royalston-ma.gov,"townclerk@royalston-ma.gov You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-249-0493,Malia,,,,townclerk@royalston-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BERLIN,"The Town Offices, 23 Linden St.","You can drop your ballot in the secure green dropbox in the entrance lobby of the Town Offices. Open the door and walk straight ahead three steps.
 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can drop your ballot in the secure green dropbox in the entrance lobby of the Town Offices. Open the door and walk straight ahead three steps.
","You can drop your ballot in the secure green dropbox in the entrance lobby of the Town Offices. Open the door and walk straight ahead three steps.
 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-838-2931,Malia,,,,townclerk@townofberlin.com,,(978) 838-2931,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
LEXINGTON,Town Clerk Mailbox:1605 MA ave.,"You can drop your ballot in the dropbox, located in the circle in front of the Cary Memorial Building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can drop your ballot in the dropbox, located in the circle in front of the Cary Memorial Building.","You can drop your ballot in the dropbox, located in the circle in front of the Cary Memorial Building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-698-4558,Malia,2420,https://www.lexingtonma.gov/home/news/vote-mail-information-state-primary-september-1,Nathalie Rice,townclerk@lexingtonma.gov,Direct email option,781-698-4557,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
